year,week_of_year,calls_offered_last_year,calls_offered_avg_last_year,year,week_of_year,calls_handled,calls_abandoned,avg_speed_answer,avg_handle_time,avg_talk,avg_acw,service_level,avg_abandon_time,max_wait_time,day_of_year,day_of_week,calls_offered_last_year,calls_offered_avg_last_year,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,week_day_Monday,week_day_Saturday,week_day_Sunday,week_day_Thursday,week_day_Tuesday,week_day_Wednesday,calls_offered_actual,calls_offered_predicted
2024,16,1317.0,1060.1153846153845,2024,16,767.0,21.0,47.5,712.0,589.0,123.0,0.9064,174.0,577.5,108,2,1317.0,1060.1153846153845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,795.0,795.3570533423115
2024,18,1215.0,1127.826923076923,2024,18,729.0,7.0,23.0,798.0,696.0,102.0,0.95995,166.0,417.0,121,1,1215.0,1127.826923076923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,743.0,743.4114293991381
2024,8,1231.0,0.057692307692307696,2024,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5,1231.0,0.057692307692307696,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.15603093443138505
2023,50,0.0,0.0,2023,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344,6,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,1.0805912984644408
2024,22,843.0,997.6730769230769,2024,22,529.0,55.0,190.0,974.0,835.0,139.0,0.6549,383.0,3592.0,151,3,843.0,997.6730769230769,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,594.0,590.9615737951963
2022,39,0.0,0.0,2022,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,6,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.0,0.0878923816931092
2022,12,0.0,0.0,2022,12,1505.0,17.0,29.0,579.5,502.5,77.28,97.29,86.5,253.5,73,0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1529.0,1535.527490737365
2023,23,1144.0,1205.7115384615386,2023,23,850.0,10.0,34.5,528.5,462.5,66.14,0.93595,197.0,687.5,159,3,1144.0,1205.7115384615386,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,869.0,868.0007391320357
2022,8,0.0,0.0,2022,8,1496.0,40.0,55.0,583.5,508.0,75.4,89.74,184.0,785.0,45,0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1544.0,1548.7267473747834
2023,48,1505.0,1438.5961538461538,2023,48,977.0,15.0,24.33333333,732.3333333,666.6666667,65.87,0.968466667,436.0,417.0,332,1,1505.0,1438.5961538461538,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1001.0,1001.5106850688953
